VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
00618	3	2.11.2020	3	3	1	2106
00618	3	2.11.2020	5	5	1	2533
00618	3	2.11.2020	2	2	1	2377
00618	3	2.11.2020	4	4	1	2385
00618	3	2.11.2020	1	1	1	2216
00618	3	2.11.2020	4	4	1	1800
00618	3	2.11.2020	3	3	1	2784
00618	3	2.11.2020	3	3	1	1624
00618	3	2.11.2020	4	4	1	1839
00618	3	2.11.2020	3	3	1	1647
00618	3	2.11.2020	1	1	1	1945
00618	3	2.11.2020	1	1	1	1662
00618	3	2.11.2020	4	4	1	1944
00618	3	2.11.2020	4	4	1	1337
00618	3	2.11.2020	1	1	1	1823
00618	3	2.11.2020	1	1	1	2617
00618	3	2.11.2020	5	5	1	3413
00618	3	2.11.2020	2	2	1	2313
00618	3	2.11.2020	2	2	1	2575
00618	3	2.11.2020	4	4	1	2471
00618	3	2.11.2020	4	4	1	1760
00618	3	2.11.2020	3	3	1	2672
00618	3	2.11.2020	4	4	1	2079
00618	3	2.11.2020	3	4	0	2856
00618	3	2.11.2020	3	3	1	3937
00618	3	2.11.2020	1	1	1	2344
00618	3	2.11.2020	2	2	1	2751
00618	3	2.11.2020	4	4	1	2864
00618	3	2.11.2020	1	1	1	2903
00618	3	2.11.2020	3	3	1	1935
00618	3	2.11.2020	4	4	1	4048
00618	3	2.11.2020	0	5	0	3048
00618	3	2.11.2020	0	4	0	0
00618	3	2.11.2020	0	2	0	0
00618	3	2.11.2020	0	3	0	0
00618	3	2.11.2020	0	4	0	0
00618	3	2.11.2020	0	1	0	0
00618	3	2.11.2020	0	4	0	0
00618	3	2.11.2020	0	2	0	0
00618	3	2.11.2020	0	1	0	0
00618	3	2.11.2020	0	3	0	0
00618	3	2.11.2020	0	5	0	0
00618	3	2.11.2020	0	2	0	0
00618	3	2.11.2020	0	5	0	0
00618	3	2.11.2020	0	1	0	0
00618	3	2.11.2020	0	1	0	0
