VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
00173	1	19.2.2020	5	5	1	2617
00173	1	19.2.2020	3	3	1	5437
00173	1	19.2.2020	2	2	1	2678
00173	1	19.2.2020	4	4	1	3364
00173	1	19.2.2020	5	5	1	6869
00173	1	19.2.2020	2	2	1	2869
00173	1	19.2.2020	2	2	1	2748
00173	1	19.2.2020	3	3	1	2733
00173	1	19.2.2020	4	4	1	7773
00173	1	19.2.2020	1	1	1	6389
00173	1	19.2.2020	5	5	1	7772
00173	1	19.2.2020	4	4	1	5525
00173	1	19.2.2020	1	1	1	2973
00173	1	19.2.2020	1	1	1	9429
00173	1	19.2.2020	3	3	1	3477
00173	1	19.2.2020	3	3	1	3300
00173	1	19.2.2020	5	5	1	4669
00173	1	19.2.2020	5	1	0	14084
00173	1	19.2.2020	4	4	1	5308
00173	1	19.2.2020	5	5	1	9220
00173	1	19.2.2020	5	4	0	8133
00173	1	19.2.2020	3	3	1	6973
00173	1	19.2.2020	3	2	0	6516
00173	1	19.2.2020	1	1	1	1684
00173	1	19.2.2020	4	3	0	12725
00173	1	19.2.2020	4	4	1	2190
00173	1	19.2.2020	5	3	0	6476
00173	1	19.2.2020	2	2	1	2973
00173	1	19.2.2020	2	3	0	6661
00173	1	19.2.2020	4	5	0	9837
00173	1	19.2.2020	4	1	0	7477
00173	1	19.2.2020	4	2	0	7014
00173	1	19.2.2020	4	3	0	6836
00173	1	19.2.2020	5	4	0	7021
00173	1	19.2.2020	5	2	0	6341
