VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
00070	1	18.12.2019	3	3	1	2891
00070	1	18.12.2019	5	5	1	3041
00070	1	18.12.2019	2	2	1	2544
00070	1	18.12.2019	4	4	1	3143
00070	1	18.12.2019	1	1	1	2464
00070	1	18.12.2019	4	4	1	2921
00070	1	18.12.2019	3	3	1	2776
00070	1	18.12.2019	3	3	1	1527
00070	1	18.12.2019	4	4	1	2448
00070	1	18.12.2019	3	3	1	2296
00070	1	18.12.2019	1	1	1	1976
00070	1	18.12.2019	1	1	1	1305
00070	1	18.12.2019	4	4	1	2088
00070	1	18.12.2019	4	4	1	1768
00070	1	18.12.2019	1	1	1	1488
00070	1	18.12.2019	1	1	1	1607
00070	1	18.12.2019	5	5	1	3996
00070	1	18.12.2019	2	2	1	6084
00070	1	18.12.2019	2	2	1	3953
00070	1	18.12.2019	4	4	1	2736
00070	1	18.12.2019	4	4	1	1584
00070	1	18.12.2019	3	3	1	3032
00070	1	18.12.2019	4	4	1	2592
00070	1	18.12.2019	4	4	1	1776
00070	1	18.12.2019	4	3	0	2671
00070	1	18.12.2019	1	1	1	1731
00070	1	18.12.2019	2	2	1	5373
00070	1	18.12.2019	0	4	0	3393
00070	1	18.12.2019	0	1	0	0
00070	1	18.12.2019	0	3	0	0
00070	1	18.12.2019	0	4	0	0
00070	1	18.12.2019	0	5	0	0
00070	1	18.12.2019	0	4	0	0
00070	1	18.12.2019	0	2	0	0
00070	1	18.12.2019	0	3	0	0
00070	1	18.12.2019	0	4	0	0
00070	1	18.12.2019	0	1	0	0
00070	1	18.12.2019	0	4	0	0
00070	1	18.12.2019	0	2	0	0
00070	1	18.12.2019	0	1	0	0
00070	1	18.12.2019	0	3	0	0
00070	1	18.12.2019	0	5	0	0
00070	1	18.12.2019	0	2	0	0
00070	1	18.12.2019	0	5	0	0
00070	1	18.12.2019	0	1	0	0
00070	1	18.12.2019	0	1	0	0
