VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
00101	1	23.1.2020	5	5	1	1839
00101	1	23.1.2020	3	3	1	2567
00101	1	23.1.2020	2	2	1	1795
00101	1	23.1.2020	4	4	1	1860
00101	1	23.1.2020	5	5	1	4326
00101	1	23.1.2020	2	2	1	1901
00101	1	23.1.2020	2	2	1	2326
00101	1	23.1.2020	3	3	1	2124
00101	1	23.1.2020	3	4	0	6364
00101	1	23.1.2020	1	1	1	2078
00101	1	23.1.2020	5	5	1	2557
00101	1	23.1.2020	1	4	0	3877
00101	1	23.1.2020	2	1	0	4837
00101	1	23.1.2020	1	1	1	2012
00101	1	23.1.2020	3	3	1	1941
00101	1	23.1.2020	3	3	1	1979
00101	1	23.1.2020	5	5	1	2980
00101	1	23.1.2020	3	1	0	5589
00101	1	23.1.2020	4	4	1	2454
00101	1	23.1.2020	5	5	1	2829
00101	1	23.1.2020	2	4	0	5108
00101	1	23.1.2020	3	3	1	2262
00101	1	23.1.2020	2	2	1	3981
00101	1	23.1.2020	1	1	1	3140
00101	1	23.1.2020	3	3	1	5797
00101	1	23.1.2020	4	4	1	2614
00101	1	23.1.2020	3	3	1	7653
00101	1	23.1.2020	2	2	1	1988
00101	1	23.1.2020	2	3	0	6996
00101	1	23.1.2020	1	5	0	3862
00101	1	23.1.2020	4	1	0	3461
00101	1	23.1.2020	3	2	0	3541
00101	1	23.1.2020	3	3	1	2732
00101	1	23.1.2020	3	4	0	8093
00101	1	23.1.2020	2	2	1	1948
